Strain,Company,Types,Categories,THC level,Price,Feelings,Flavor,Description,THC level numeric,Price numeric
Dynamite Cookies,Tyson 2.0,Indica,Flower,24%,$44.00 ,"Happy,Relaxed,Sleepy",Not Specified,"Whether you?re looking to be the next heavyweight champion, or just conquer your morning routine, this strain will help you be like Mike. Testing at over 25% THC, this potent hybrid will get you ready to take on the world, and keep you relaxed throughout the day. This strain explodes with a classic cookie flavor, followed by diesel undertones, and a spicy exhale. Light em up.",24,44
Tiger Mintz,Tyson 2.0,Indica,Flower,25%,$44.00 ,"Relaxed,Sleepy,Happy,Focused",Not Specified,"It?s no surprise that this refreshing strain packs a punch. Weighing in at just under 31% THC, this heavy-hitting indica-dominant will leave you seeing stars, laid out with tingly waves of euphoria. It has a crisp mint and diesel aroma, with sweet berry and sour cherry flavors, making this Mike?s preferred dessert strain.",25,44
Orange Zkittlez | Moonrocks,Veterans Choice Creations,Indica,Flower,53%,$66.00 ,"Relaxed,Sleepy,Happy",Not Specified,"Each bag of SPACEBUDS Moonrocks carries 4 grams of celestial joy. We start with nuggets of our Mandarin Zkittlez flower, then we drench them in our premium Hash Rosin. But we don't stop there; we add a proprietary mix of terpenes to turbocharge the flavor to stellar proportions. Finally, each nugget is tossed and coated in powdered hash, amplifying the taste and texture to galactic levels.The result? Moonrocks that boast an out-of-this-world over 42% Total Cannabinoids including over 37% THC. These aren't your everyday cannabis product - they're a spectacular shooting star of pleasure, designed to make every moment feel like a cosmic celebration.",53,66
Purple Daddy,Zizzle,Indica,Flower,17.60%,$47.00 ,"Happy,Relaxed,Sleepy",Not Specified,"Purple Daddy is an indica-dominant hybrid strain of cannabis that is known for its relaxing effects and sweet, fruity flavor. It is a cross be- tween Granddaddy Purple and Sugar Daddy and is often used to alleviate symptoms of anxiety, depression, and chronic pain. Purple Daddy typical- ly has a deep purple color, with medium to large-sized buds and a dense, sticky texture. It has a sweet and fruity aroma, with hints of grape, berry, and candy. The high from Purple Daddy is usually not too overpowering, making it a good choice for novice cannabis users, and",17,47
Triple Infused | RuntzxZoap | 5pk |Tidal Waves | 0.5g,7 SEAZ,Indica,Pre-rolls,31.39%,$55.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",31,55
NYC Diesel | Infused | 6 Pack,Animal,Indica,Pre-rolls,37.06%,$65.00 ,"Relaxed,Sleepy,Happy",Not Specified,"SUPER INFUSED with highly potent diamonds, cannabis oil, terpenes, and kief.Premium whole flower, never trim or shake, and always hand-rolled.Hand rolled and kief coated. The pungent, gassy flavors of the legendary New York Diesel promise to keep you uplifted and energetic while you weave your way through the concrete jungle.",37,65
Headhunter | 1g,Bannermans Batch,Indica,Pre-rolls,18%,$12.00 ,"Relaxed,Sleepy,Happy",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",18,12
Stellar OG | 1g,Bannermans Batch,Indica,Pre-rolls,18-20%,$12.00 ,"Relaxed,Sleepy,Happy",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",18,12
Lucys | Diamond Infused | Slurricane | 3 Pack,Blotter,Indica,Pre-rolls,54%,$56.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"Slurricane is sweet with notes of grape and berries.Blotter Lucys start with top-quality flower picked at its peak. These Lucys have been infused with pure THC diamonds throught indica-dominant flower, with pure cannabis oil painted on the paper and then rolled in kief, packing a powerful punch and coming in at a heft 54% THC overall. The result is a blend of crystals and terpenes that deliver a flavorful and full-bodied experience, true to the strain. Lucys prerolls are great for those looking to explore the unique flavor profiles of both flower and concentrate. Blotter is grown and extracted in Cortland, New York by a team of passionate farmers and extractors.",54,56
Wedding Cake,Cornucopia,Indica,Pre-rolls,19%,$12.00 ,"Relaxed,Aroused,Hungry","Vanilla,pepper,sweet","Wedding Cake, also known as ""Triangle Mints #23,"" is a potent type of indica-hybrid marijuana strain made by crossing Triangle Kush with Animal Mints. Fun fact: In Canada, this strain is known as Pink Cookies. The Wedding Cake strain provides relaxing and euphoric effects that calm the body and mind. This strain yields a rich and tangy flavor profile with undertones of earthy pepper. Medical marijuana patients choose Wedding Cake to help relieve symptoms associated with pain, insomnia and appetite loss. Consumers with a low THC tolerance should enjoy this strain with an extra slice of care due to its high THC content. Wedding Cake has soared in popularity over the years and was named Leafly Strain of the Year in 2019.",19,12
Northern Lights,Cornucopia,Indica,Pre-rolls,20%,$12.00 ,"Sleepy,Hungry,Relaxed","pine,spicy herbal,earthy","Northern Lights, also known as ""NL,"" is an indica marijuana strain made by crossing Afghani with Thai. Northern Lights produces euphoric effects that settle in firmly throughout the body, relaxing muscles and easing the mind. Consumers say this strain has a pungently sweet and spicy flavor profile that is smooth on the exhale. Medical marijuana patients choose Northern Lights to help relieve symptoms associated with depression, stress, pain and insomnia. Growers say this strain features purple and crystal-coated buds and grows best indoors with a flowering time of 45-50 days.Northern Lights stands among the most famous strains of all time, a pure indica cherished for its resinous buds, fast flowering, and resilience during growth. This strain has given rise to famous hybrids like Shiva Skunk and Super Silver Haze. Rumor has it that Northern Lights first sprouted near Seattle, Washington, but was propagated out of Holland after 1985 at what is now Sensi Seeds.",20,12
Runtz Ether | Joint | 1g,Dank,Indica,Pre-rolls,30.84%,$17.00 ,"Relaxed,Sleepy,Happy",Not Specified,"One gram of our potent, fan-favorite Runtz Ether flower rolled into a fresh hemp wrap. Runtz Ether is a hybrid strain with exceptionally high potency. A cross of of Chemdawg x Alien Technology. It has a high which is both euphoric and relaxing, which is typical of most hybrids. Many note that this strain is good for relieving stress, anxiety, and chronic pain. Enjoy Responsibly!",30,17
Skunk x Northern Lights,Harvest,Indica,Pre-rolls,21.73%,$14.00 ,"Relaxed,Sleepy,Focused,Happy",Not Specified,"Skunk x Northern Lights is a balanced blend of both indica and sativa characteristics. A relaxing body high combined with uplifting and euphoric cerebral effects, this strain may promote feelings of happiness, creativity, and relaxation while alleviating stress, pain, and insomnia.",21,14
Skywalker OG | 1g,Harvest,Indica,Pre-rolls,24.46%,$44.00 ,"Sleepy,Relaxed,Tingly","spicy herbal,pungent,earthy","Skywalker OG is an Indica-dominant hybrid cannabis strain with a potent THC content ranging from 20% to 30%. It is a cross between Mazar and Blueberry OG strains. The dominant terpenes found in Skywalker OG are myrcene, caryophyllene, and limonene. Skywalker OG is well-known for its relaxing and euphoric effects, making it an excellent choice for stress relief and pain management. This strain is often used to alleviate symptoms of anxiety, depression, and insomnia. The strain's name pays homage to the Star Wars franchise, featuring the namesake of Luke Skywalker himself. Skywalker OG's creators chose to name the strain after the Jedi hero due to its potent, ""forceful"" effects. When it comes to taste and aroma, Skywalker OG has a spicy, herbal flavor with hints of earthy undertones. The top flavors and aromas include diesel, pine, and spicy herbal notes.As for Luke Skywalker, well, we can only imagine him toking up on some Skywalker OG after a long day of fighting the dark side. Perhaps it's even what helped him stay so calm during those intense lightsaber battles. Who knows, maybe Yoda was growing Skywalker OG on Dagobah all along!",24,44
Blueberry Muffin,MFNY,Indica,Pre-rolls,31.30%,$20.00 ,"Relaxed,Tingly,Happy","blueberry,butter,vanilla","Blueberry Muffin, also known as ""Blueberry Muffins,"" is an indica-dominant hybrid marijuana strain made from a cross of Blueberry and Purple Panty Dropper. Produced by Humboldt Seed Co., Blueberry Muffin is revered for its uniform bud structure and purple-tinted flowers. This strain features a flavor profile that smells like a tray of fresh baked muffins. Blueberry Muffin's sweetness is softened by a smooth, creamy finish and makes for a tasty joint. ",31,20
Gazzurple | Infused,MFNY,Indica,Pre-rolls,33.57%,$20.00 ,"Relaxed,Sleepy,Happy",Not Specified,"For our kief infused pre-rolls, we start with premium, hand-trimmed whole Gazzurple flower then pass it through a micro filter. This process creates dry sift that retains high potency and results in a more enhanced flavor experience of the Gazzurple strain. With a distinct scent and taste of berries, cream, and that classic gas, it offers an excellent type of high. Exclusively single-sourced at MFNY in the Hudson Valley.",33,20
Blueberry Muffin | Live Resin,MFNY,Indica,Pre-rolls,48.43%,$48.00 ,"Relaxed,Tingly,Happy","blueberry,butter,vanilla","Blueberry Muffin, also known as ""Blueberry Muffins,"" is an indica-dominant hybrid marijuana strain made from a cross of Blueberry and Purple Panty Dropper. Produced by Humboldt Seed Co., Blueberry Muffin is revered for its uniform bud structure and purple-tinted flowers. This strain features a flavor profile that smells like a tray of fresh baked muffins. Blueberry Muffin's sweetness is softened by a smooth, creamy finish and makes for a tasty joint. ",48,48
WAP | 3 Pack,Zizzle,Indica,Pre-rolls,25%,$27.00 ,"Relaxed,Sleepy,Happy",Not Specified,"WAP is a cross between Cheetah Piss and Project 4516, a hard hitting indica dominant hybrid with higher CBD content. It has a fruity, piney and floral scent and flavor, and a euphoric, relaxing and sleepy effect.Proudly serving the Binghamton, Johnson City, Endicott, and Owego area in New York!",25,27
Apple Fritter | AIO,ayrloom,Indica,Vaporizers,90%,$35.00 ,"Aroused,Sleepy,Relaxed","rose,flowery,lavender","Pink Rozay is a potent indica marijuana strain bred by Cookies. Pink Rozay is inspired by the bright, floral flavors you often find when drinking a class of rose - but without the hangover. Smoking Pink Rozay will give you a heavy head high but your body will feel at ease. Because this strain is known to be high in THC, it is important to enjoy in small quantities. Pink Rozay nugs are frosty with muted shades of green and orange. Medical marijuana patients choose this strain to help relieve symptoms related to chronic pain.",90,35
Tahoe | Cart,ayrloom,Indica,Vaporizers,90%,$60.00 ,"Happy,Focused",Not Specified,Earthy with just the right amount of citrus. There?s nothing subtle about our twist on this classic.,90,60
Rest | Mood | AIO | (CBN),ayrloom,Indica,Vaporizers,75%,$35.00 ,"Relaxed,Sleepy,Happy",Not Specified,Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs.,75,35
Pink Rozay | AIO,ayrloom,Indica,Vaporizers,90%,$35.00 ,"Aroused,Sleepy,Relaxed","rose,flowery,lavender","Pink Rozay is a potent indica marijuana strain bred by Cookies. Pink Rozay is inspired by the bright, floral flavors you often find when drinking a class of rose - but without the hangover. Smoking Pink Rozay will give you a heavy head high but your body will feel at ease. Because this strain is known to be high in THC, it is important to enjoy in small quantities. Pink Rozay nugs are frosty with muted shades of green and orange. Medical marijuana patients choose this strain to help relieve symptoms related to chronic pain.",90,35
Forbidden Fruit | AIO | 1g,cannabals,Indica,Vaporizers,88%,$55.00 ,"Happy,Relaxed,Sleepy",Not Specified,"Don?t let our compact and discrete disposable hardware fool you, our state of the art custom Blinc AIO Simple vaporizer delivers one gram/ml of high potency indica cannabis oil with naturally derived Forbidden Fruit terpenes.",88,55
Sour Papaya | AIO | 1g,cannabals,Indica,Vaporizers,80.76%,$65.00 ,"Relaxed,Happy,Focused","peach,grapefruit,tropical",Sour Papaya is believed to be a hybrid marijuana strain. We're still learning about Sour Papaya and its effects.,80,65
Blackberry | Disposable | 0.5g,EUREKA,Indica,Vaporizers,87.46%,$40.00 ,"Relaxed,Sleepy,Happy",Not Specified,"The CLASSIC Blackberry Kush disposable brings you our pure & potent distillate in a convenient, rechargeable vape. Blackberry Kush produces relaxing effects & strong body high. Blackberry Kush offers a hashy flavor profile with a jet fuel taste and aroma balanced out with sweet berries. Our cannabis oil is 100% natural, pesticide-free, solvent-free, and never cut or altered with MCT, PG, VG or Vitamin E Acetate.""",87,40
Gorilla Glu | Vape | 0.5g,Gezoont,Indica,Vaporizers,83.99%,$35.00 ,"Relaxed,Sleepy,Happy",Not Specified,CO2 oil. We never use ethanol or any solvent other than CO2 in its creation. The devices are rechargeable and disposable.Total THC: 83.99%/419.93MG Total Cannabinoids: 89.56%/447.80mg Live Terpenes: 3.7%Beta-Myrcene (anti-inflammatory)Beta-Caryophyllene (pain management)Limonene (stress relief),83,35
Bubble Punch | 5pk | 0.5g,Hepworth,Indica,Vaporizers,20.24%,$24.00 ,"Relaxed,Sleepy,Happy",Not Specified,"Elevate your energy with our meticulously crafted pre-roll pack, thought fully curated to invigorate your senses and inspire productivity. Each pack contains five perfectly rolled 0.5g joints, designed to provide you with a boost of motivation and vitality whenever you need it. Our Energize cannabis category is dedicated to those seeking a dynamic and uplifting experience, and these pre- rolls are no exception.",20,24
Leisure | 1g,Holiday,Indica,Vaporizers,91%,$70.00 ,"Relaxed,Sleepy,Happy",Not Specified,"Bake some leisure into your self-care routine ? you deserve it. Leisure hits first as sweet and tart mango, but finishes with a delicious juicy citrus note reminiscent of yuzu fruit. Nothin? but hammock vibes.",91,70
Nightcap | 1g,Holiday,Indica,Vaporizers,60%,$70.00 ,"Uplifted,Hungry,Relaxed",Not Specified,N/A,60,70
Wedding Cake | 1g,Jaunty,Indica,Vaporizers,90%,$60.00 ,"Relaxed,Aroused,Hungry","Vanilla,pepper,sweet","Wedding Cake, also known as ""Triangle Mints #23,"" is a potent type of indica-hybrid marijuana strain made by crossing Triangle Kush with Animal Mints. Fun fact: In Canada, this strain is known as Pink Cookies. The Wedding Cake strain provides relaxing and euphoric effects that calm the body and mind. This strain yields a rich and tangy flavor profile with undertones of earthy pepper. Medical marijuana patients choose Wedding Cake to help relieve symptoms associated with pain, insomnia and appetite loss. Consumers with a low THC tolerance should enjoy this strain with an extra slice of care due to its high THC content. Wedding Cake has soared in popularity over the years and was named Leafly Strain of the Year in 2019.",90,60
Hash Burger | Live Resin,MFNY,Indica,Vaporizers,82.88%,$48.00 ,"Sleepy,Relaxed,Euphoric","cheese,chestnut,pungent","Hash Burger is a hybrid weed strain. Reviewers on Leafly say this strain makes them feel sleepy, relaxed, and euphoric. If you've smoked, dabbed, or otherwise enjoyed this strain, Hash Burger, before let us know! Leave a review.",82,48
Oishii #4 | Live Resin 510 Cart (.5g),MFNY,Indica,Vaporizers,75.97%,$48.00 ,"Relaxed,Sleepy,Happy",Not Specified,"For our resin hash infused pre-rolls, we start with premium, hand-trimmed whole Oishii #4 flower then infuse it with our in-house made Oishii #4 live resin HTFSE [high terpene full spectrum extract from fresh frozen buds]. This process creates a higher potency product, with sweet, yes gassy flavors of the Oishii #4 strain. Potent and high in THC this product is a treat for experienced cannabis consumer. No shake, no trim. Just the very best of our craft cannabis, ready to enjoy. Exclusively single-sourced at MFNY in the Hudson Valley.",75,48
Watermelon Zkittles | Live Resin | Ready To Use | 1g,Rove,Indica,Vaporizers,91.60%,$95.00 ,"Happy ,Relaxed,Sleepy",Not Specified,"Taste, and feel, a rainbow of effects with this fruity strain that is mouth-wateringly delicious. Earthy, herbaceous undertones and bright fruity citrus meet with a sour overtone that turns slightly pungent in this delicious strain. Despite its bright and complex nose, Watermelon Zkittlez?s effects are best suited for a chill night lazing on the couch or catching some zzz's.",91,95
Pluto Ice | Live Resin Disposable,To The Moon,Indica,Vaporizers,89.65%,$80.00 ,"Relaxed,Sleepy,Happy",Not Specified,"Disposable vaporizers contain concentrated cannabis oil that is heated by an attached battery and inhaled. These products come charged and ready to go, and are not designed to be reused, refilled, or recharged. These products are often very potent and are designed to be consumed in 2-3 second puffs.",89,80
Flight Pack | Landing Sequence | Indica | 5 Pack,Head Space,Indica,Pre-rolls,21.37%,$30.00 ,"Relaxed,Sleepy,Happy",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",21,30
Landing Sequence (Indica) | 1g,Head Space,Indica,Pre-rolls,21.37%,$11.00 ,"Relaxed,Sleepy,Happy",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",21,11
Papaya Cake,Aetema,Indica-Hybrid,Flower,25%,$270.00 ,"Relaxed,Sleepy, Hungry","tropical,mango,apricot","Papaya Cake is a hybrid weed strain made from a genetic cross between Papaya, Wedding Cake, and White OG. Papaya Cake is 24% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Papaya Cake effects include relaxation, drowsiness, and hunger. Medical marijuana patients often choose Papaya Cake when dealing with symptoms associated with anxiety, insomnia, and stress. Bred by Mad Cow Genetics, Papaya Cake features tropical, mango, and apricot flavors. The dominant terpene of this strain is Limonene. The average price of Papaya Cake typically ranges from $35-$45. If you?ve smoked, dabbed, or consumed Papaya Cake, tell us about your experience by leaving a strain review.",25,270
Skywalker OG,Dank,Indica-Hybrid,Flower,30.62%,$53.00 ,"Sleepy,Relaxed,Tingly","spicy herbal,pungent,earthy","Skywalker OG is an Indica-dominant hybrid cannabis strain with a potent THC content ranging from 20% to 30%. It is a cross between Mazar and Blueberry OG strains. The dominant terpenes found in Skywalker OG are myrcene, caryophyllene, and limonene. Skywalker OG is well-known for its relaxing and euphoric effects, making it an excellent choice for stress relief and pain management. This strain is often used to alleviate symptoms of anxiety, depression, and insomnia. The strain's name pays homage to the Star Wars franchise, featuring the namesake of Luke Skywalker himself. Skywalker OG's creators chose to name the strain after the Jedi hero due to its potent, ""forceful"" effects. When it comes to taste and aroma, Skywalker OG has a spicy, herbal flavor with hints of earthy undertones. The top flavors and aromas include diesel, pine, and spicy herbal notes.As for Luke Skywalker, well, we can only imagine him toking up on some Skywalker OG after a long day of fighting the dark side. Perhaps it's even what helped him stay so calm during those intense lightsaber battles. Who knows, maybe Yoda was growing Skywalker OG on Dagobah all along!",30,53
Kiwi Kush,DEALER CANNABIS CO.,Indica-Hybrid,Flower,21.15%,$26.00 ,Relaxed,Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,21,26
Harvest | Skywalker OG,Harvest,Indica-Hybrid,Flower,22.61%,$175.00 ,"Sleepy,Relaxed,Tingly",Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,22,175
Black Scotti | 7 Pk,Florist Farms,Indica-Hybrid,Pre-rolls,25%,$38.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"Black Scotti is a hybrid weed strain made from a genetic cross between Biscotti and Zhit. This strain is 30% sativa and 70% indica. Black Scotti is 23.5% THC, making this strain an ideal choice for experienced cannabis consumers. Bred by unknown breeders, the average price of Black Scotti typically ranges from $10-$15 per gram. We are still learning about Black Scotti?s effects, flavors, and medical uses. If you've smoked, dabbed, or consumed Black Scotti, please tell us about your experience by leaving a strain review.",25,38
Frosted Infused Flower,Silly Nice,Hybrid,Flower,40%,$60.00 ,N/A,Not Specified,"Welcome to a world where the extraordinary is the norm, and every nug of ""Frosted Flower"" is a ticket to a vibrant escape. Straight from the exclusive strains of Kombucha Cream by Sega Farms, this bud bursts with a potent party of cannabinoids at a dazzling 39.86%, and THC levels that dance up to 33.72%.Dive into a kaleidoscope of terpenes where Myrcene leads the conga line, followed by the spicy swing of Caryophyllene and the citrus twirl of Limonene, all adding up to a total terpene content of 2.2%. It's a flavor festival that'll make your senses sing!And because we're all about keeping it real, we've aced the test for purity. No pesticides or heavy metals here?just pure, unadulterated fun.Kick back and revel in the pure joy of ""Frosted Flower,"" your go-to for good times and great vibes.Just so you know:- Base Flower: Kombucha Cream, grown with care by Sega Farms- Solvents used for THCA powder production: Ethanol, Pentane It's not just cannabis; it's a celebration in a jar!",40,60
Blue Dream | Hash | 0.5g,HUDSON CANNABIS,Sativa,Concentrates,60.00%,$64.00 ,"Creative,Uplifted,Energetic","blueberry,berry,sweet","Blue Dream is a sativa-dominant hybrid marijuana strain made by crossing Blueberry with Haze. This strain produces a balanced high, along with effects such as cerebral stimulation and full-body relaxation. Blue dream is 18% THC but has a low CBD percentage, making this potent strain a fan favorite of both novice and veteran cannabis consumers. In terms of flavor, Blue Dream is reported to smell and taste like sweet berries. Medical marijuana patients often use Blue Dream to treat symptoms of depression, chronic pain, and nausea. Blue Dream originated in California and has since achieved legendary status among West Coast strains and has quickly become one of the most-searched-for strains in the Leafly database. The average price per gram of Blue Dream is $20. Strains similar to Blue Dream include Blue Dream CBD, Double Dream,and Blue Magoo.",60,64
TTM | Strawberry Spacejam | 100mg,To The Moon,Sativa,Edibles,100mg,$30.00 ,"Energetic,Happy,Creative,Focused,Inspired,Uplifted",Not Specified,"Edibles are created either by infusing cooking oil or butter with cannabis extract, or by mixing extract directly into other ingredients. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,30
TTM | Space Unicorn | 100mg,To The Moon,Sativa,Edibles,100mg,$30.00 ,"Energetic,Happy,Creative,Focused,Inspired,Uplifted",Not Specified,"Edibles are created either by infusing cooking oil or butter with cannabis extract, or by mixing extract directly into other ingredients. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,30
TTM | Electric Lemonade | 100mg,To The Moon,Sativa,Edibles,100mg,$30.00 ,"Energetic,Happy,Creative,Focused,Inspired,Uplifted",Not Specified,"Edibles are created either by infusing cooking oil or butter with cannabis extract, or by mixing extract directly into other ingredients. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,30
Strawberry | Social | CBG | 10 Pack,Florist Farms,Sativa,Edibles,100mg,$30.00 ,"Happy,Relaxed,Calm,Energetic",Not Specified,"NY?s finest hybrid cannabis extract measured and dosed with precision for a reliable experience that hits the sweet spot between relaxed and energized. These picnic-basket-ready strawberry gummies will have you feeling fine.INGREDIENTS: Corn Syrup, sugar, gelatin (bovine), sorbitol, citric acid, modified food starch (corn), flavoring, sunflower oil, Cannabis sativa extract, food coloring (Yellow #5, Red #40, Red #3)",100,30
Sour Watermelon | Energize | THC-V | 10 Pack,Florist Farms,Sativa,Edibles,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,NY?s finest hybrid cannabis extract measured and dosed with precision for a reliable experience that hits the sweet spot between relaxed and energized. These Sour Green Apple Gummies are a throwback to some one of our favorite flavors as kids and they don?t disappoint - in flavor or effects.,100,30
Bedtime Blueberry Sleep Gummies | 10 Pack,Florist Farms,Sativa,Edibles,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,NY?s finest hybrid cannabis extract measured and dosed with precision for a reliable experience that hits the sweet spot between relaxed and energized. These Sour Green Apple Gummies are a throwback to some one of our favorite flavors as kids and they don?t disappoint - in flavor or effects.,100,30
Golden Raspberry Gummies | 10 Pack,Florist Farms,Sativa,Edibles,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,NY?s finest hybrid cannabis extract measured and dosed with precision for a reliable experience that hits the sweet spot between relaxed and energized. These Sour Green Apple Gummies are a throwback to some one of our favorite flavors as kids and they don?t disappoint - in flavor or effects.,100,30
Peach Gummies | 10 Pack,Florist Farms,Sativa,Edibles,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,NY?s finest hybrid cannabis extract measured and dosed with precision for a reliable experience that hits the sweet spot between relaxed and energized. These Sour Green Apple Gummies are a throwback to some one of our favorite flavors as kids and they don?t disappoint - in flavor or effects.,100,30
Sour Green Apple | 10 Pack,Florist Farms,Sativa,Edibles,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,NY?s finest hybrid cannabis extract measured and dosed with precision for a reliable experience that hits the sweet spot between relaxed and energized. These Sour Green Apple Gummies are a throwback to some one of our favorite flavors as kids and they don?t disappoint - in flavor or effects.,100,30
Sweet Peach | 100mg,Jaunty,Sativa,Edibles,100mg,$24.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,Summer?s here! Grab a bag of Jaunty?s Sweet Peach gummies and celebrate the season with this quintessential flavor of summertime. Each delicious piece packs 10mg THC to add a special pep in your step.,100,24
Sour Watermelon | 100mg,Jaunty,Sativa,Edibles,100mg,$24.00 ,"Energetic,Talkative,Uplifted","diesel,pungent,skunk","Sour Diesel, also known as ""Sour D"" and ""Sour Deez,"" is a popular hybrid marijuana strain made by crossing Chemdawg and Super Skunk. Sour Diesel effects are dreamy, cerebral, fast-acting and energizing. This strain features a pungent flavor profile that smells like diesel. Medical marijuana patients choose Sour Diesel to help relieve symptoms associated with depression, pain, and stress. Fun fact: Sour Diesel first became popular in the early 1990s and has been legendary ever since.",100,24
Mango Habanero x Spicy Papaya | Rosin Gummies,MFNY,Sativa,Edibles,100mg,$30.00 ,"Energetic,Focused,Uplifted","lemon,pepper,citrus","A must for edible lovers, these palate-pleasing Pink Lemonade x Lemoncane gummies are unlike any other edibles you've tried. Our vegan, full-spectrum, cultivar-specific gummies are infused with MFNY?s premium Lemoncane live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes. We use the minimum amount of sugar to highlight the spicy pineapple flavors of the Pinezapple, paired with natural flavors of pineapple.",100,30
Limelight | 100mg,Off Hours,Sativa,Edibles,100mg,$30.00 ,"Energetic,Focused,Tingly","lime,citrus,pine","Limelight, also called Rockstar, is a hybrid cannabis strain bred by Kali Grown Seeds in 2018, made from a genetic cross of (Key Lime Pie x Lemon Tree) x Kali Grown OG. Citrus is on the menu. Limelight looks how it smells: Vibrant, electric-green buds that reek of limonene-rich terps with an earthy base. A perfect, tangy way to start the day. If you?ve smoked, dabbed, or consumed Limelight, tell us about your experience by leaving a strain review.",100,30
Awaken | 100mg,Off Hours,Sativa,Edibles,100mg,$30.00 ,"Creative,Energetic,Focused,Happy,Inspired",Not Specified,Off Hours orange punch Awaken gummies are specially formulated with an eye-opening blend of THC and THCV to energize your day.,100,30
Private Party,DEALER CANNABIS CO.,Sativa,Flower,22.43%,$26.00 ,"focused,Happy,Relaxed,Energetic",Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,22,26
Harvest | Power Plant ,Harvest,Sativa,Flower,21.52%,$45.00 ,"Energetic,Happy,Creative,Focused,Inspired",Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,21,45
Wet Dream,Zizzle,Sativa,Flower,22%,$54.00 ,"Energetic,Creative,Uplifted","sage,blue cheese,spicy herbal","Wet Dream, also known as ""Wet Dreams,"" is native to San Diego, California. Wet Dream is a sativa-dominant cross between Blue Dream and OB Haze (Ocean Beach Haze). While its ever-so appealing name might lead you to believe this strain is best for late night indulgence, the upbeat jolt of energy Wet Dream provides is favored by many for daytime use. Its uplifting cerebral effects are ushered in by a spicy lemongrass aroma and a woody pine flavor. While Haze hybrids tend to induce racing euphoria that can be a bit jarring for some, the Blue Dream genetics bring a mellow, relaxing quality to the experience to help curb stress and anxiety.",22,54
